J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
172,0.00941713,0.00933814,-7.56E-05,-7.27E-05,-5.34E-06,-4.60E-06
173,0.00931937,0.00925641,-8.17E-05,-7.77E-05,-5.00E-06,-4.43E-06
174,0.0092132,0.00916902,-8.74E-05,-8.23E-05,-4.62E-06,-4.20E-06
175,0.00909775,0.00907638,-9.26E-05,-8.65E-05,-4.21E-06,-3.93E-06
176,0.00898937,0.00897976,-9.66E-05,-9.03E-05,-3.74E-06,-3.61E-06
177,0.00888762,0.00887996,-9.98E-05,-9.36E-05,-3.32E-06,-3.28E-06
178,0.00877748,0.00877718,-0.000102778,-9.65E-05,-2.96E-06,-2.92E-06
179,0.00866291,0.00867243,-0.000104753,-9.90E-05,-2.51E-06,-2.56E-06
180,0.00855409,0.00856694,-0.000105489,-0.000101064,-2.02E-06,-2.20E-06
181,0.00845013,0.00846101,-0.000105931,-0.000102656,-1.59E-06,-1.85E-06
182,0.00834795,0.00835461,-0.000106403,-0.000103874,-1.22E-06,-1.52E-06
183,0.00824885,0.00824817,-0.000106433,-0.000104739,-8.65E-07,-1.22E-06
184,0.00814622,0.00814159,-0.00010658,-0.000105328,-5.89E-07,-9.48E-07
